YEAR	DATE	TIME	Hour	STREET1	STREET2	OFFSET	ROAD_CLASS	District	LATITUDE	LONGITUDE	LOCCOORD	ACCLOC	TRAFFCTL	VISIBILITY	LIGHT	RDSFCOND	ACCLASS	IMPACTYPE	INVTYPE	INVAGE	INJURY	FATAL_NO	INITDIR	VEHTYPE	MANOEUVER	DRIVACT	DRIVCOND	PEDTYPE	PEDACT	PEDCOND	CYCLISTYPE	CYCACT	CYCCOND	PEDESTRIAN	CYCLIST	AUTOMOBILE	MOTORCYCLE	TRUCK	TRSN_CITY_VEH	EMERG_VEH	PASSENGER	SPEEDING	AG_DRIV	REDLIGHT	ALCOHOL	DISABILITY	Division
2017	2017-08-27T04:00:00.000Z	2054	20	6065 STEELES AVE E	 	 	Major Arterial	Scarborough	43.83705	-79.249019	Mid-Block	Non Intersection	No Control	Clear	Dark	Dry	Fatal	Pedestrian Collisions	Pedestrian	75 to 79	Fatal	38	North	 	 	 	 	Pedestrian hit at mid-block	Running onto Roadway	Inattentive	 	 	 	Yes	 	Yes	 	 		 	 	Yes	Yes	 	 	 	42
2016	2016-07-04T04:00:00.000Z	2055	20	KIPLING AVE	WESTHUMBER BLVD	 	Major Arterial	Etobicoke York	43.728129	-79.574641	Intersection	At Intersection	Traffic Signal	Clear	"Dusk, artificial"	Dry	Fatal	Pedestrian Collisions	Pedestrian	70 to 74	Fatal	40	Unknown	 	 	 	 	Vehicle turns left while ped crosses with ROW at inter.	Walking on Roadway with Traffic	Normal	 	 	 	Yes	 	Yes	 	 		 	 	Yes	Yes	 	 	 	23
2018	2018-08-10T04:00:00.000Z	2055	20	BELLAMY RD N	BRIMORTON DR	 	Minor Arterial	Scarborough	43.767378	-79.239131	Intersection	At Intersection	Traffic Signal	Clear	Daylight	Dry	Fatal	Angle	Motorcycle Driver	70 to 74	Fatal	41	West	Motorcycle	Going Ahead	Driving Properly	Unknown	 	 	 	 	 	 	 	 	Yes	Yes	 		 	 	 	Yes	Yes	 	 	43
2013	2013-04-12T04:00:00.000Z	2056	20	JANE ST	STONG CRT	 	Major Arterial	Etobicoke York	43.762446	-79.518886	Mid-Block	 	No Control	Rain	"Dark, artificial"	Wet	Fatal	Pedestrian Collisions	Pedestrian	50 to 54	Fatal	9	West	 	 	 	 	Pedestrian hit at mid-block	"Crossing, no Traffic Control"	Unknown	 	 	 	Yes	 	Yes	 	 		 	 	Yes	Yes	 	 	 	31
2011	2011-01-25T05:00:00.000Z	2058	20	BATHURST ST	FOREST RIDGE DR	 	Major Arterial	North York	43.706645	-79.42669	Mid-Block	 	No Control	Clear	Dark	Wet	Fatal	Pedestrian Collisions	Pedestrian	75 to 79	Fatal	4	West	Other	 	 	 	Pedestrian hit at mid-block	"Crossing, no Traffic Control"	Inattentive	 	 	 	Yes	 	Yes	 	 		 	 	 	Yes	 	 	 	"13,53"
2014	2014-09-22T04:00:00.000Z	2059	20	KING ST W	CLOSE AVE	 	Major Arterial	Toronto and East York	43.63745	-79.434711	Intersection	 	Pedestrian Crossover	Clear	"Dark, artificial"	Dry	Fatal	Pedestrian Collisions	Pedestrian	35 to 39	Fatal	29	Unknown	 	 	 	 	Pedestrian hit a PXO/ped. Mid-block signal	"Crossing, Pedestrian Crossover"	Unknown	 	 	 	Yes	 	Yes	 	 		 	 	 	Yes	 	 	 	14
2012	2012-12-18T05:00:00.000Z	2100	21	KINGSTON RD	BEECHGROVE DR	 	Major Arterial	Scarborough	43.776445	-79.17369	Intersection	At Intersection	No Control	Clear	Dark	Dry	Fatal	Pedestrian Collisions	Pedestrian	55 to 59	Fatal	42	North	Other	 	 	 	Pedestrian hit at mid-block	"Crossing, no Traffic Control"	Unknown	 	 	 	Yes	 	Yes	 	 		 	 	 	 	 	 	 	43
2013	2013-12-03T05:00:00.000Z	2100	21	MARKLAND DR	BLOOR ST W	 	Major Arterial	Etobicoke York	43.633544	-79.570766	Intersection	 	Traffic Signal	Clear	"Dark, artificial"	Dry	Fatal	Pedestrian Collisions	Pedestrian	85 to 89	Fatal	60	East	 	 	 	 	Vehicle turns left while ped crosses with ROW at inter.	Crossing with right of way	Normal	 	 	 	Yes	 	Yes	 	 		 	 	 	Yes	 	 	 	22
2008	2008-12-13T05:00:00.000Z	2101	21	SHEPPARD AVE E	MORNINGSIDE AVE	 	Major Arterial	Scarborough	43.802245	-79.19869	Mid-Block	 	No Control	Clear	Dark	Wet	Fatal	Turning Movement	Driver	30 to 34	Fatal	54	West	"Automobile, Station Wagon"	Turning Left	Improper Turn	Unknown	 	 	 	 	 	 	 	 	Yes	 	 		 	 	 	 	 	 	 	42
2015	2015-05-31T04:00:00.000Z	2104	21	BLOOR ST W	WESTMORELAND AVE	 	Major Arterial	Toronto and East York	43.660933	-79.430408	Intersection	 	No Control	Rain	Dusk	Wet	Fatal	Pedestrian Collisions	Pedestrian	35 to 39	Fatal	25	South	 	 	 	 	Pedestrian hit at mid-block	"Crossing, no Traffic Control"	Normal	 	 	 	Yes	 	Yes	 	 		 	 	Yes	Yes	 	 	 	14
2013	2013-07-03T04:00:00.000Z	2105	21	98 HAVENDALE RD	 	 	Collector	Scarborough	43.792746	-79.284488	Mid-Block	 	No Control	Clear	Dark	Dry	Fatal	SMV Other	Motorcycle Driver	25 to 29	Fatal	18	West	Motorcycle	Going Ahead	Lost control	Unknown	 	 	 	 	 	 	 	 	Yes	Yes	 		 	 	Yes	Yes	 	 	 	42
2014	2014-05-08T04:00:00.000Z	2108	21	RENFORTH DR	ERINGATE DR	 	Minor Arterial	Etobicoke York	43.660464	-79.583576	Mid-Block	 	No Control	Clear	"Dusk, artificial"	Dry	Fatal	Turning Movement	Motorcycle Driver	20 to 24	Fatal	8	North	Motorcycle	Going Ahead	Exceeding Speed Limit	Unknown	 	 	 	 	 	 	 	 	Yes	Yes	 		 	 	Yes	Yes	 	 	 	22
2012	2012-01-12T05:00:00.000Z	2110	21	FOREST GROVE DR	PAGE AVE	 	Local	North York	43.779645	-79.37889	Mid-Block	 	No Control	Clear	"Dark, artificial"	Wet	Fatal	Pedestrian Collisions	Pedestrian	80 to 84	Fatal	1	Unknown	Other	 	 	 	Vehicle is reversing and hits pedestrian	Other	Medical or Physical Disability	 	 	 	Yes	 	Yes	 	 		 	 	 	 	 	 	 	33
2015	2015-08-09T04:00:00.000Z	2110	21	MEADOWVALE RD	SHEPPARD AVE E	35 m North of	Collector	Scarborough	43.808852	-79.171031	Mid-Block	Intersection Related	No Control	Clear	"Dark, artificial"	Dry	Fatal	Pedestrian Collisions	Pedestrian	35 to 39	Fatal	36	Unknown	 	 	 	 	Pedestrian hit at mid-block	"Crossing, no Traffic Control"	Normal	 	 	 	Yes	 	Yes	 	 		 	 	 	 	 	 	 	42
2016	2016-04-09T04:00:00.000Z	2111	21	CUMMER AVE	WILLOWDALE AVE	 	Minor Arterial	North York	43.788653	-79.4099	Intersection	Intersection Related	Traffic Signal	Clear	Dark	Dry	Fatal	Angle	Driver	30 to 34	Fatal	25	West	"Automobile, Station Wagon"	Going Ahead	Disobeyed Traffic Control	Unknown	 	 	 	 	 	 	 	 	Yes	 	 		 	 	 	Yes	Yes	 	 	32
2013	2013-10-08T04:00:00.000Z	2115	21	STEELES AVE E	TURFF  AVE	 	Major Arterial	Scarborough	43.824481	-79.303623	Mid-Block	 	No Control	Clear	Dark	Dry	Fatal	Pedestrian Collisions	Pedestrian	80 to 84	Fatal	47	North	 	 	 	 	Pedestrian hit at mid-block	"Crossing, no Traffic Control"	Normal	 	 	 	Yes	 	Yes	 	 		 	Yes	 	 	 	 	 	42
2015	2015-05-27T04:00:00.000Z	2120	21	TANGAMO RD	MOFORD CRES	17 m North of	Local	Etobicoke York	43.69047	-79.559459	Intersection	Non Intersection	Stop Sign	Clear	"Dark, artificial"	Dry	Fatal	SMV Other	Driver	15 to 19	Fatal	24	South	"Automobile, Station Wagon"	Going Ahead	Other	Unknown	 	 	 	 	 	 	 	 	Yes	 	 		 	 	 	 	 	 	 	23
2008	2008-08-17T04:00:00.000Z	2125	21	WARDEN Aven	FINCH Aven E	 	Major Arterial	Scarborough	43.797845	-79.31619	Mid-Block	 	No Control	Clear	Dark	Dry	Fatal	Pedestrian Collisions	Pedestrian	45 to 49	Fatal	36	East	Other	Going Ahead	 	 	Pedestrian hit at mid-block	"Crossing, no Traffic Control"	"Ability Impaired, Alcohol"	 	 	 	Yes	 	Yes	 	 		 	 	 	 	 	 	 	42
2017	2017-09-27T04:00:00.000Z	2125	21	WARDEN AVE	CONTINENTAL PL	 	Major Arterial	Scarborough	43.763491	-79.301257	Intersection	At Intersection	No Control	Clear	Dark	Dry	Fatal	Pedestrian Collisions	Pedestrian	30 to 34	Fatal	43	East	 	 	 	 	Vehicle is going straight thru inter.while ped cross without ROW	"Crossing, no Traffic Control"	Unknown	 	 	 	Yes	 	Yes	 	 		 	 	Yes	Yes	 	 	 	41
2017	2017-09-27T04:00:00.000Z	2125	21	WARDEN AVE	CONTINENTAL PL	 	Major Arterial	Scarborough	43.763491	-79.301257	Intersection	At Intersection	No Control	Clear	Dark	Dry	Fatal	Pedestrian Collisions	Pedestrian	5 to 9	Fatal	44	East	 	 	 	 	Vehicle is going straight thru inter.while ped cross without ROW	"Crossing, no Traffic Control"	Unknown	 	 	 	Yes	 	Yes	 	 		 	 	Yes	Yes	 	 	 	41
2009	2009-03-25T04:00:00.000Z	2128	21	FRONT ST W	BLUE JAYS WAY	 	Minor Arterial	Toronto and East York	43.643445	-79.39129	Intersection	At Intersection	Traffic Signal	Rain	Dark	Wet	Fatal	Pedestrian Collisions	Pedestrian	25 to 29	Fatal	9	South	Other	 	 	 	Vehicle turns right while ped crosses with ROW at inter.	Crossing with right of way	Inattentive	 	 	 	Yes	 	 	 	Yes		 	 	 	Yes	 	 	 	52
2013	2013-03-05T05:00:00.000Z	2128	21	1420 VICTORIA PARK Ave	 	 	Major Arterial	Scarborough	43.721343	-79.301288	Mid-Block	 	No Control	Clear	"Dark, artificial"	Wet	Fatal	Pedestrian Collisions	Pedestrian	35 to 39	Fatal	7	East	 	 	 	 	Pedestrian hit at mid-block	"Crossing, no Traffic Control"	Had Been Drinking	 	 	 	Yes	 	Yes	 	 		 	 	 	Yes	 	 	 	"54,41"
2008	2008-02-24T05:00:00.000Z	2132	21	BATHURST ST	CARPENTER RD	 	Major Arterial	North York	43.788245	-79.44669	Mid-Block	 	No Control	Clear	Dark	Dry	Fatal	Approaching	Passenger	15 to 19	Fatal	8	 	Other	 	 	 	 	 	 	 	 	 	 	 	Yes	 	 		 	Yes	 	 	 	Yes	 	32
2012	2012-07-27T04:00:00.000Z	2133	21	KINGSTON RD	LAWRENCE AVE E	 	Major Arterial	Scarborough	43.767646	-79.189586	Intersection	At Intersection	Traffic Signal	Clear	"Dusk, artificial"	Dry	Fatal	Cyclist Collisions	Cyclist	15 to 19	Fatal	24	South	Bicycle	Going Ahead	 	 	 	 	 	"Cyclist without ROW rides into path of motorist at inter, lnwy, dwy-Cyclist not turn."	Disobeyed Traffic Control	Unknown	 	Yes	Yes	 	 		 	 	 	 	 	 	 	43
2017	2017-09-28T04:00:00.000Z	2135	21	4322 MCCOWAN RD	 	30 m South of	Major Arterial	Scarborough	43.829547	-79.274997	Mid-Block	Non Intersection	No Control	Clear	"Dark, artificial"	Dry	Fatal	Pedestrian Collisions	Pedestrian	70 to 74	Fatal	46	West	 	 	 	 	Pedestrian hit at mid-block	"Crossing, no Traffic Control"	Normal	 	 	 	Yes	 	Yes	 	 		 	 	 	 	 	 	 	42
2015	2015-07-14T04:00:00.000Z	2137	21	BUCKINGHAM AVE	DINNICK CRES	 	Local	North York	43.725703	-79.39442	Intersection	 	Stop Sign	Other	"Dark, artificial"	Other	Fatal	Pedestrian Collisions	Pedestrian	70 to 74	Fatal	34	North	 	 	 	 	Vehicle turns left while ped crosses with ROW at inter.	Crossing with right of way	Normal	 	 	 	Yes	 	Yes	 	 		 	 	 	Yes	 	 	 	53
2016	2016-04-25T04:00:00.000Z	2139	21	EGLINTON AVE E	BEACHELL ST	 	Major Arterial	Scarborough	43.742285	-79.222949	Mid-Block	Non Intersection	No Control	Rain	Dark	Wet	Fatal	Pedestrian Collisions	Pedestrian	60 to 64	Fatal	28	North	 	 	 	 	Pedestrian hit at mid-block	"Crossing, no Traffic Control"	Normal	 	 	 	Yes	 	Yes	 	 		 	 	 	 	 	 	 	43
2014	2014-01-19T05:00:00.000Z	2145	21	EGLINTON AVE W	NORTHCLIFFE BLVD	 	Major Arterial	 	43.69625	-79.447673	Intersection	At Intersection	Traffic Signal	Clear	"Dark, artificial"	Wet	Fatal	Pedestrian Collisions	Pedestrian	35 to 39	Fatal	1	South	 	 	 	 	Vehicle is going straight thru inter.while ped cross without ROW	Crossing without right of way	Unknown	 	 	 	Yes	 	Yes	 	 		 	 	 	 	 	 	 	13
2016	2016-03-31T04:00:00.000Z	2146	21	MARKHAM RD	NASHDENE RD	 	Major Arterial	Scarborough	43.820227	-79.246181	Intersection	Intersection Related	Traffic Signal	Rain	Dark	Wet	Fatal	Pedestrian Collisions	Pedestrian	55 to 59	Fatal	20	West	 	 	 	 	Vehicle turns left while ped crosses without ROW at inter.	Crossing without right of way	Inattentive	 	 	 	Yes	 	Yes	 	 		 	 	 	 	 	 	 	42
2009	2009-08-31T04:00:00.000Z	2150	21	BLOOR ST W	AVENUE RD	 	Major Arterial	Toronto and East York	43.668845	-79.393192	Mid-Block	 	No Control	Clear	Dark	Dry	Fatal	Pedestrian Collisions	Pedestrian	30 to 34	Fatal	23	West	 	 	 	 	Other / Undefined	Other	Had Been Drinking	 	 	 	Yes	 	Yes	 	 		 	 	 	 	 	 	 	"53,52"
2008	2008-09-08T04:00:00.000Z	2150	21	MARKHAM RD	NASHDENE RD	 	Major Arterial	Scarborough	43.819445	-79.24579	Mid-Block	 	No Control	Rain	Dark	Wet	Fatal	Pedestrian Collisions	Pedestrian	45 to 49	Fatal	38	West	Other	 	 	 	Pedestrian hit at mid-block	Running onto Roadway	Unknown	 	 	 	Yes	 	Yes	 	 		 	 	 	 	 	 	 	42
2015	2015-06-26T04:00:00.000Z	2150	21	2058 DUFFERIN ST	 	 	Major Arterial	Toronto and East York	43.686812	-79.446643	Mid-Block	 	No Control	Clear	"Dark, artificial"	Dry	Fatal	Pedestrian Collisions	Pedestrian	80 to 84	Fatal	32	West	 	 	 	 	Pedestrian hit at mid-block	"Crossing, no Traffic Control"	Normal	 	 	 	Yes	 	Yes	 	 		 	 	 	 	 	 	 	13
2012	2012-07-13T04:00:00.000Z	2151	21	EGLINTON AVE E	BRIMLEY RD	 	Major Arterial	Scarborough	43.736445	-79.24899	Mid-Block	 	No Control	Clear	"Dark, artificial"	Dry	Fatal	Pedestrian Collisions	Pedestrian	45 to 49	Fatal	21	North	Other	 	 	 	Pedestrian hit at mid-block	"Crossing, no Traffic Control"	Unknown	 	 	 	Yes	 	Yes	 	 		 	 	 	 	 	 	 	41
2018	2018-01-07T05:00:00.000Z	2151	21	STEELES AVE E	EASTVALE  DR	E of	Major Arterial	Scarborough	43.837935	-79.245151	Intersection	Intersection Related	No Control	Other	Dark	Other	Fatal	Pedestrian Collisions	Pedestrian	20 to 24	Fatal	4	North	 	 	 	 	Pedestrian hit at mid-block	"Crossing, no Traffic Control"	Unknown	 	 	 	Yes	 	Yes	 	 		 	 	 	 	 	 	 	42
2016	2016-11-28T05:00:00.000Z	2153	21	BLOOR ST E	PARLIAMENT ST	 	Major Arterial	Toronto and East York	43.671935	-79.370654	Intersection	At Intersection	Traffic Signal	Clear	Dark	Dry	Fatal	SMV Other	Passenger	25 to 29	Fatal	74	 	 	 	 	 	 	 	 	 	 	 	 	 	Yes	 	 		 	Yes	Yes	Yes	 	 	 	"51,53"
2008	2008-07-11T04:00:00.000Z	2155	21	STEELES AVE W	HIDDEN TRL	 	Major Arterial	North York	43.788445	-79.46399	Mid-Block	 	No Control	Clear	Dark	Dry	Fatal	Approaching	Driver	30 to 34	Fatal	30	East	"Automobile, Station Wagon"	Going Ahead	Lost control	Unknown	 	 	 	 	 	 	 	 	Yes	 	Yes		 	Yes	Yes	Yes	 	 	 	32
2013	2013-08-15T04:00:00.000Z	2201	22	WILLOWDALE AVE	OLIVE AVE	 	Minor Arterial	North York	43.780545	-79.40669	Intersection	At Intersection	No Control	Clear	"Dark, artificial"	Dry	Fatal	Turning Movement	Motorcycle Driver	20 to 24	Fatal	31	North	Motorcycle	Going Ahead	Exceeding Speed Limit	Unknown	 	 	 	 	 	 	 	 	Yes	Yes	 		 	 	Yes	Yes	 	 	 	32
2015	2015-05-13T04:00:00.000Z	2208	22	DANFORTH RD	BRIMLEY RD	 	Major Arterial	Scarborough	43.735163	-79.247379	Intersection	At Intersection	Traffic Signal	Clear	Dark	Dry	Fatal	Pedestrian Collisions	Pedestrian	30 to 34	Fatal	21	North	 	 	 	 	Vehicle is going straight thru inter.while ped cross without ROW	Crossing without right of way	Unknown	 	 	 	Yes	 	Yes	 	 		 	 	 	 	 	 	 	"41,43"
2012	2012-01-20T05:00:00.000Z	2214	22	SENECA HILL DR	DON MILLS RD	 	Collector	North York	43.790045	-79.35519	Mid-Block	 	No Control	Snow	Dark	Packed Snow	Fatal	SMV Other	Driver	85 to 89	Fatal	4	West	"Automobile, Station Wagon"	Going Ahead	Lost control	Unknown	 	 	 	 	 	 	 	 	Yes	 	 		 	 	 	 	 	 	 	33
